body|parent_of|action;action||FALSE|OneToOne|10
cond|parent_of|action;expr||FALSE|OneToOne|10
init|parent_of|action;action||FALSE|OneToOne|0
update|parent_of|action;action||FALSE|OneToOne|0
branches_item|parent_of|action;action||FALSE||0
body_item|parent_of|action;action||FALSE||0
boundary_of||boundary;action||FALSE|ManyToOne|0
begin_of|boundary_of|boundary;action||FALSE|OneToOne|0
end_of|boundary_of|boundary;action||FALSE|OneToOne|0
executes||act;boundary||FALSE|ManyToOne|0
next||action;action||FALSE|OneToOne|0
in_trace||act;trace||FALSE|ManyToOne|0
iteration_of||act;loop||FALSE||0
next_sibling||act;act||FALSE||0
next_act||act;act||FALSE|OneToOne|0
student_next||act;act||FALSE|OneToOne|0
student_next_latest||act;act||FALSE|OneToOne|0
wrong_next_act||act;act||FALSE|OneToOne|0
hasPartTransitive||action;action||FALSE||16
parent_of|hasPartTransitive|action;action||FALSE|OneToMany|0
student_parent_of||act;act||FALSE|OneToMany|0
entry_point||algorithm;action||FALSE|OneToOne|0
corresponding_end||act;act||FALSE|OneToOne|0
interrupt_target||action;action||FALSE|ManyToOne|0
has_func_def||func_call;func||FALSE|ManyToOne|0
evaluated_before|next|func_call;func_call||FALSE|OneToOne|0
